ID	alien0_profiled	alien2_profiled	alien7_profiled	alien60_profiled	bugkiller0	bugkiller2	bugkiller7	bugkiller60
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Bacteria	99.49142	99.79797	99.37663	99.85171	100.0	100.0	100.0	100.0
k__Bacteria|p__Actinobacteria	1.65866	1.26839	1.20374	5.76868	12.50985	29.01046	11.90372	19.05597
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.65866	1.26839	1.20374	5.76868	12.50985	29.01046	11.90372	19.05597
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.21949	0.0562	0.04505	0.08417	0.04513	0.02185	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.00504	0.0	0.0	0.01123	0.01182	0.01944	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.00504	0.0	0.0	0.01123	0.01182	0.01944	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0.0	0.0	0.0	0.00054	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii|t__Actinomyces_graevenitzii_unclassified	0.0	0.0	0.0	0.00054	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0.00504	0.0	0.0	0.01069	0.01182	0.01944	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus|t__Actinomyces_odontolyticus_unclassified	0.00504	0.0	0.0	0.01069	0.01182	0.01944	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae	0.04851	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Dermatophilaceae_unclassified	0.04851	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.00743	0.00355	0.02635	0.04458	0.0	0.00241	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0.00743	0.00355	0.02635	0.04458	0.0	0.00241	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	0.00743	0.00355	0.02635	0.04458	0.0	0.00241	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa|t__Rothia_mucilaginosa_unclassified	0.00743	0.00355	0.02635	0.04458	0.0	0.00241	0.0	0.0
